ccaa,year,fisica,candidates,take_up,mean,pass_pct,d_take_up,d_mean,d_take_up_nc,d_mean_nc
Murcia (Región de),2016,1322.0,6262.0,0.2111146598530821,5.36,60.25,1.1814553298091488,-0.3109090909090906,0.5895005227638414,-0.20500000000000007
Murcia (Región de),2017,1251.0,6252.0,0.20009596928982726,5.8,69.63,0.6054424404792235,0.12909090909090892,0.014100809605019396,0.23499999999999943
Murcia (Región de),2018,1325.0,6677.0,0.19844241425790027,5.48,62.08,0.5190012244256028,-0.19090909090909047,-0.07224838820583779,-0.08499999999999996
Murcia (Región de),2019,1173.0,6933.0,0.1691908264820424,5.47,62.66,-1.0101543041313839,-0.20090909090909115,-1.5997761029597115,-0.09500000000000064
Murcia (Región de),2020,1298.0,7881.0,0.1646999111787844,5.45,62.39,-1.2449213197504778,-0.22090909090909072,,
Murcia (Región de),2021,1302.0,7259.0,0.17936354869816779,6.27,71.23,-0.47836524240731765,0.5990909090909087,,
Murcia (Región de),2022,1306.0,7418.0,0.17605823672148826,5.38,61.58,-0.6511536777385645,-0.290909090909091,,
Murcia (Región de),2023,1347.0,7592.0,0.1774236037934668,5.42,61.34,-0.579777770809204,-0.25090909090909097,,
Murcia (Región de),2024,1337.0,7547.0,0.17715648602093548,6.47,76.06,-0.5937416151574832,0.7990909090909089,,
Murcia (Región de),2025,1501.0,7762.0,0.1933779953620201,5.31,60.51,0.2542537442920564,-0.3609090909090913,-0.33671403984355586,-0.2550000000000008
Navarra (Comunidad Foral de),2015,727.0,2669.0,0.27238666167103787,5.16,59.69,-0.647298767620934,-0.585454545454545,-0.5270898090819012,-0.03833333333333311
Navarra (Comunidad Foral de),2016,729.0,2725.0,0.2675229357798165,5.21,60.72,-1.0024401576294864,-0.5354545454545452,-1.003309010655214,0.011666666666666714
Navarra (Comunidad Foral de),2017,807.0,2757.0,0.2927094668117519,4.73,52.17,0.8366395603126167,-1.0154545454545447,1.4627653460593628,-0.4683333333333328
Navarra (Comunidad Foral de),2018,843.0,2937.0,0.2870275791624106,5.38,59.57,0.42175732336303906,-0.36545454545454525,0.9064379418603764,0.18166666666666664
Navarra (Comunidad Foral de),2019,852.0,3064.0,0.2780678851174935,5.35,61.48,-0.23246502969069832,-0.3954545454545455,0.029172561401168324,0.1516666666666664
Navarra (Comunidad Foral de),2020,920.0,3537.0,0.26010743567995476,6.11,70.49,-1.543907968927572,0.36454545454545517,,
Navarra (Comunidad Foral de),2021,1022.0,3413.0,0.2994433050102549,6.88,81.52,1.3283335232116034,1.1345454545454547,,
Navarra (Comunidad Foral de),2022,956.0,3310.0,0.28882175226586104,6.09,69.79,0.5527649385383537,0.3445454545454547,,
Navarra (Comunidad Foral de),2023,1012.0,3352.0,0.301909307875895,6.13,73.68,1.5083970599025187,0.38454545454545475,,
Navarra (Comunidad Foral de),2024,961.0,3471.0,0.27686545664073753,6.8,78.62,-0.320264410283205,1.0545454545454547,,
Navarra (Comunidad Foral de),2025,921.0,3425.0,0.2689051094890511,5.36,60.93,-0.9015160711761709,-0.38545454545454483,-0.8679770295837977,0.16166666666666707
País Vasco,2015,2488.0,9552.0,0.26046901172529313,5.53,63.59,1.501683289340598,-0.6199999999999992,1.1484447841988528,-0.3166666666666673
País Vasco,2016,2376.0,9882.0,0.24043715846994534,6.16,72.32,0.7013128916837305,0.010000000000000675,-0.045335879240870354,0.3133333333333326
País Vasco,2017,2461.0,9967.0,0.24691481890237785,5.89,67.02,0.9601270707866087,-0.2599999999999998,0.34069459282751446,0.043333333333332114
País Vasco,2018,2603.0,10424.0,0.249712202609363,6.16,70.67,1.0718962157288439,0.010000000000000675,0.5074022126893307,0.3133333333333326
País Vasco,2019,2550.0,10675.0,0.2388758782201405,5.87,66.25,0.6389321184990769,-0.27999999999999936,-0.13837900154558203,0.02333333333333254
País Vasco,2020,2564.0,11738.0,0.21843584937808827,6.44,75.15,-0.1777468878761201,0.2900000000000009,,
País Vasco,2021,2371.0,11947.0,0.19845986440110489,7.68,89.4,-0.9758850748832324,1.5300000000000002,,
País Vasco,2022,2334.0,12107.0,0.1927810357644338,6.06,69.35,-1.2027820212725655,-0.08999999999999986,,
País Vasco,2023,2429.0,12083.0,0.20102623520648846,6.3,70.71,-0.8733460239099295,0.15000000000000036,,
