ccaa,year,sitting,phase,[0-5),[5-6),[6-7),[7-8),[8-9),[9-10]
Cataluña,2016,ordinary,specific,38.07,16.55,16.44,14.96,9.45,4.53
Cataluña,2017,extraordinary,specific,75.79,8.72,6.05,3.15,4.12,2.18
Cataluña,2017,ordinary,specific,21.03,12.91,15.63,19.68,18.18,12.57
Cataluña,2018,extraordinary,specific,57.75,14.75,10,7,5.25,5.25
Cataluña,2018,ordinary,specific,14.31,9.47,13.03,17.66,21.44,24.08
Cataluña,2019,extraordinary,specific,72.75,8.78,5.31,5.77,4.39,3
Cataluña,2019,ordinary,specific,25.18,13.12,13.49,14.45,13.96,19.81
Cataluña,2020,extraordinary,specific,63.27,9.57,9.88,6.79,6.79,3.7
Cataluña,2020,ordinary,specific,20.24,9.65,11.14,12.79,16.63,29.55
Cataluña,2021,extraordinary,specific,53.83,11,8.61,7.18,8.37,11
Cataluña,2021,ordinary,specific,16.43,10.44,13.11,16.44,20.17,23.41
Cataluña,2022,extraordinary,specific,42.74,17.34,12.5,10.69,10.69,6.05
Cataluña,2022,ordinary,specific,31.32,14.17,15.32,15.27,13.57,10.35
Cataluña,2023,extraordinary,specific,55.59,16.86,11.35,7.85,4.34,4.01
Cataluña,2023,ordinary,specific,33.38,15.09,14.47,14.36,11.66,11.04
Cataluña,2024,extraordinary,specific,67.51,14.85,8.75,4.51,2.92,1.46
Cataluña,2024,ordinary,specific,28.46,15.99,16.28,15.24,13.46,10.57
Cataluña,2025,extraordinary,specific,73.23,13.26,6.31,3.41,2.27,1.52
Cataluña,2025,ordinary,specific,29.74,13.14,14.15,14.44,14.03,14.5
Comunitat Valenciana,2015,extraordinary,general,58.33,24.07,2.78,7.41,6.48,0.93
Comunitat Valenciana,2015,extraordinary,specific,52.68,19.16,10.92,7.09,5.75,4.41
Comunitat Valenciana,2015,ordinary,general,43.3,21.17,10.68,11.46,6.8,6.6
Comunitat Valenciana,2015,ordinary,specific,33.29,20.01,13.62,11.75,10.45,10.89
Comunitat Valenciana,2016,extraordinary,general,75.93,17.59,1.85,0.93,2.78,0.93
Comunitat Valenciana,2016,extraordinary,specific,59.08,16.63,8.03,8.03,4.78,3.44
Comunitat Valenciana,2016,ordinary,general,33.1,21.24,14.51,14.51,7.26,9.38
